,warbler,owl,newt,beetle
site_001,5,0,1,0
site_002,2,0,2,1
site_003,1,1,6,0
site_004,1,0,4,0
site_005,1,1,2,0
site_006,0,0,0,0
site_007,2,3,1,1
site_008,1,2,0,0
site_009,0,0,0,2
site_010,3,1,0,0
site_011,0,2,1,2
site_012,3,0,3,0
site_013,2,0,3,2
site_014,2,0,0,0
site_015,4,0,0,0
site_016,0,0,4,0
site_017,0,1,1,0
site_018,0,2,0,2
site_019,2,0,1,1
site_020,1,1,0,1
site_021,0,0,1,1
site_022,2,1,4,1
site_023,2,1,1,0
site_024,3,0,0,1
site_025,3,1,1,1
site_026,0,4,2,2
site_027,2,1,1,0
site_028,1,1,1,2
site_029,1,0,0,1
site_030,2,4,1,1
site_031,2,0,0,0
site_032,1,0,0,0
site_033,0,0,3,0
site_034,0,4,0,1
site_035,2,0,2,0
site_036,1,1,4,0
site_037,3,0,2,2
site_038,1,0,1,1
site_039,4,0,4,0
site_040,3,2,0,0
site_041,1,0,0,0
site_042,4,0,2,0
site_043,4,0,2,1
site_044,3,0,1,0
site_045,2,4,0,1
site_046,2,0,1,0
site_047,2,0,1,1
site_048,3,0,3,0
site_049,1,0,3,2
site_050,2,0,2,1
site_051,5,1,2,0
site_052,1,0,2,1
site_053,2,2,0,0
site_054,1,0,0,1
site_055,1,0,1,1
site_056,2,0,0,4
site_057,0,0,3,1
site_058,1,0,0,0
site_059,1,0,1,0
site_060,3,0,0,1
