site,TMG
12,1.667496071
29,-0.774024681
30,-0.936792732
31,-0.204336506
32,1.47217441
33,1.08153109
34,0.82110221
35,0.283967644
38,-0.503829718
39,-0.774024681
43,-1.425096882
45,0.202583619
49,-0.692640656
50,-1.099560782
51,-0.285720531
53,0.82110221
81,0.69088777
83,1.423343995
84,-0.070866705
109,-0.350827751
113,-0.774024681
156,1.01642387
157,1.34195997
160,-1.392543272
161,-0.936792732
163,-1.197221612
164,-0.285720531
185,1.423343995
187,0.69088777
188,1.01642387
190,0.75599499
191,0.609503745
192,-1.587864932
193,0.75599499
194,0.300244449
223,-1.099560782
224,-0.448488581
225,-1.099560782
226,-1.262328832
227,-1.262328832
230,-0.448488581
247,0.69088777
248,1.01642387
250,-0.285720531
306,1.34195997
307,1.394045746
308,-0.350827751
407,0.905741596
409,-1.480438019
410,-1.425096882
411,-0.936792732
412,1.667496071
