site,Abies concolor,Acer circinatum,Acer macrophyllum,Achlys triphylla,Adenocaulon bicolor,Amelanchier alnifolia ssp. semiintegrifolia,Amelanchier utahensis,Aralia californica,Arbutus menziesii,Asarum caudatum,Asarum hartwegii,Aster radulinus,Berberis aquifolium var. repens,Berberis nervosa,Bromus laevipes,Calocedrus decurrens,Campanula prenanthoides,Carex mendocinensis,Ceanothus integerrimus,Chimaphila menziesii,Chimaphila umbellata,Chrysolepis chrysophylla,Clintonia uniflora,Collomia heterophylla,Coptis laciniata,Cornus nuttallii,Corylus cornuta,Cupressus lawsoniana,Elymus glaucus,Festuca idahoensis,Festuca occidentalis,Fragaria vesca,Fraxinus latifolia,Galium aparine,Gaultheria shallon,Glyceria elata,Goodyera oblongifolia,Hieracium albiflorum,Hierochloe occidentalis,Holodiscus discolor,Iris chrysophylla,Linnaea borealis var. longiflora,Lithocarpus densiflorus,Nemophila parviflora,Osmorhiza occidentalis,Paxistima myrsinites,Petasites frigidus var. palmatus,Philadelphus lewisii,Pinus attenuata,Pinus lambertiana,Pinus ponderosa,Polystichum munitum,Prosartes hookeri,Pseudotsuga menziesii var. menziesii,Pteridium aquilinum,Quercus chrysolepis,Quercus kelloggii,Rhamnus purshiana,Rhododendron macrophyllum,Rhododendron occidentale,Rosa gymnocarpa,Rubus parviflorus,Rubus ursinus,Smilacina racemosa,Smilacina stellata,Symphoricarpos albus var. laevigatus,Synthyris reniformis,Tiarella trifoliata ssp. unifoliata,Trientalis latifolia,Trisetum canescens,Vaccinium membranaceum,Vaccinium parvifolium,Vancouveria hexandra,Whipplea modesta,Xerophyllum tenax
12,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,16,0,0,0,0,96,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,0,0,0,0,8,0,87,0,15,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0
30,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,33,0,0,0,0,6,0,3,58,0,0,0,0,0,0,0,0,1,0,88,1,28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,5
31,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,1,0,65,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
32,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,57,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,29,1,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,35,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,5,1,0,0,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,98,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
39,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,14,19,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,8,0,0,0,0,0,5,0,5,0,0,0,9,40,5,0,0,0,0,0,11,0,2,0,1,0,0,0,0,0,0,0,29,0,0,0,0,10,0,0,0,1,0,1,0,0,8,0,0,0,18,0,0,0
45,0,0,29,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,6,0,2,0,43,5,11,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0
50,1,23,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17,0,0,0,4,3,0,0,0,0,0,0,0,38,0,0,0,0,0,0,28,85,0,0,0,0,0,0,0,0,11,1,59,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,32,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,77,0,0,0,0,0,0,0,0,3,0,58,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,22,0
53,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,2,0,58,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,2,0,0,0,0,0,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,10,0,0,0,55,0,54,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,0,0,0,0,0,0,0,0,0,0,75,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
84,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,9,90,0,0,0,0,0,0,0,0,5,0,72,0,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0
109,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,52,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
113,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,83,0,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,25,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,7,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,47,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
160,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,19,0,0,0,0,4,11,0,0,0,0,0,0,69,0,0,0,0,3,0,9,53,0,0,0,0,0,0,0,0,1,0,62,2,6,0,0,0,0,1,0,6,0,0,1,1,0,2,0,0,12,0,3,0
161,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,0,27,0,0,0,0,0,0,16,0,2,0,0,0,0,2,17,0,0,0,0,0,0,1,0,6,0,45,0,0,0,0,31,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,2
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,45,0,0,0,0,0,0,28,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,8,0,48,1,0,0,0,23,0,0,1,1,1,0,0,0,0,0,0,0,9,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,78,0,0,0,0,0,0,4,0,1,0,0,0,0,5,46,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1
185,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,26,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,7,0,71,0,47,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
188,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,12,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,78,0,0,0,0,0,36,0,0,0,0,0,0,28,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,84,0,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
192,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,6,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,80,0,0,0,0,0,0,0,0,8,0,42,0,22,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,16,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,31,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,1,0,36,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
194,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,38,0,0,0,0,0,2,26,0,0,0,1,0,0,4,16,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,10,0,0,0,3,0,0,0,11,0,1,0,0,10,0,1,0
223,11,13,0,2,0,0,0,0,8,0,0,1,0,20,6,0,1,0,0,0,1,0,0,0,0,8,10,0,0,0,6,3,0,0,0,0,1,0,0,14,0,1,47,0,0,7,0,3,0,0,0,1,0,62,0,40,0,0,0,0,2,0,2,0,0,12,4,0,9,6,0,5,0,22,0
224,10,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,14,0,0,0,0,1,0,3,36,0,0,0,0,0,0,0,0,2,0,80,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
225,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,92,0,0,0,0,0,0,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
226,0,31,16,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,1,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,10,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
227,19,16,0,1,0,1,0,0,30,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,4,6,23,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,0,1,3,0,0,0,0,0,0,0,22,0,28,0,3,0,0,2,0,3,0,18,15,0,0,1,0,0,10,7,2,0
230,3,15,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,15,2,0,0,0,2,15,0,0,0,0,0,0,12,0,0,0,0,0,0,8,36,0,0,2,0,0,0,0,0,1,0,84,2,0,0,0,4,0,1,0,0,0,5,0,0,0,1,0,10,7,1,0,0
247,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,1,0,46,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
248,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,65,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,84,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
306,0,0,0,0,1,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,75,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0
307,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,62,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,64,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,12,0,2,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,1,0,43,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
409,0,38,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,36,0,0,0,28,0,5,0,0,0,0,0,0,42,0,0,0,0,0,0,2,41,0,0,0,0,0,0,0,0,2,0,53,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
410,0,3,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,4,21,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,1,0,3,1,5,73,0,0,0,0,0,0,0,0,6,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,88,0,0,0,0,0,0,12,0,0,1,51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
412,8,13,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,23,0,0,0,0,0,0,0,0,0,0,0,4,0,4,89,0,0,0,0,5,0,0,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
