site,Abies concolor,Acer circinatum,Acer macrophyllum,Achlys triphylla,Adenocaulon bicolor,Amelanchier alnifolia ssp. semiintegrifolia,Amelanchier utahensis,Aralia californica,Arbutus menziesii,Asarum caudatum,Asarum hartwegii,Aster radulinus,Berberis aquifolium var. repens,Berberis nervosa,Bromus laevipes,Calocedrus decurrens,Campanula prenanthoides,Carex mendocinensis,Ceanothus integerrimus,Chimaphila menziesii,Chimaphila umbellata,Chrysolepis chrysophylla,Clintonia uniflora,Collomia heterophylla,Coptis laciniata,Cornus nuttallii,Corylus cornuta,Cupressus lawsoniana,Elymus glaucus,Festuca idahoensis,Festuca occidentalis,Fragaria vesca,Fraxinus latifolia,Galium aparine,Gaultheria shallon,Glyceria elata,Goodyera oblongifolia,Hieracium albiflorum,Hierochloe occidentalis,Holodiscus discolor,Iris chrysophylla,Linnaea borealis var. longiflora,Lithocarpus densiflorus,Nemophila parviflora,Osmorhiza occidentalis,Paxistima myrsinites,Petasites frigidus var. palmatus,Philadelphus lewisii,Pinus attenuata,Pinus lambertiana,Pinus ponderosa,Polystichum munitum,Prosartes hookeri,Pseudotsuga menziesii var. menziesii,Pteridium aquilinum,Quercus chrysolepis,Quercus kelloggii,Rhamnus purshiana,Rhododendron macrophyllum,Rhododendron occidentale,Rosa gymnocarpa,Rubus parviflorus,Rubus ursinus,Smilacina racemosa,Smilacina stellata,Symphoricarpos albus var. laevigatus,Synthyris reniformis,Tiarella trifoliata ssp. unifoliata,Trientalis latifolia,Trisetum canescens,Vaccinium membranaceum,Vaccinium parvifolium,Vancouveria hexandra,Whipplea modesta,Xerophyllum tenax
12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
