species,CN
Abies concolor,1.404361963
Acer circinatum,-1.182451242
Acer macrophyllum,-1.194207609
Achlys triphylla,-0.951034468
Adenocaulon bicolor,-0.532628356
Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701
Amelanchier utahensis,-0.098386548
Aralia californica,-0.833708279
Arbutus menziesii,0.991187718
Asarum caudatum,-0.732177277
Asarum hartwegii,-1.373221651
Aster radulinus,-1.221209494
Berberis aquifolium var. repens,1.303759385
Berberis nervosa,1.604495497
Bromus laevipes,-0.151972018
Calocedrus decurrens,1.394446169
Campanula prenanthoides,-1.38489833
Carex mendocinensis,1.347853751
Ceanothus integerrimus,-0.929046638
Chimaphila menziesii,-0.216598244
Chimaphila umbellata,1.317563447
Chrysolepis chrysophylla,1.811650133
Clintonia uniflora,-0.526083999
Collomia heterophylla,0.286286234
Coptis laciniata,0.915326539
Cornus nuttallii,0.208591959
Corylus cornuta,-1.080208067
Cupressus lawsoniana,0.737699864
Elymus glaucus,-1.094278795
Festuca idahoensis,0.812412327
Festuca occidentalis,0.581104939
Fragaria vesca,-0.258200655
Fraxinus latifolia,-0.301608791
Galium aparine,0.106749196
Gaultheria shallon,1.344395526
Glyceria elata,-0.125402825
Goodyera oblongifolia,0.426928695
Hieracium albiflorum,-0.514982455
Hierochloe occidentalis,0.161127556
Holodiscus discolor,-0.551838239
Iris chrysophylla,-0.61757172
Linnaea borealis var. longiflora,1.145795303
Lithocarpus densiflorus,1.437719677
Nemophila parviflora,-1.289331811
Osmorhiza occidentalis,-1.337878407
Paxistima myrsinites,0.92799261
Petasites frigidus var. palmatus,-1.147878108
Philadelphus lewisii,-1.062565462
Pinus attenuata,1.063288906
Pinus lambertiana,1.656429538
Pinus ponderosa,0.911695067
Polystichum munitum,0.626960116
Prosartes hookeri,-1.768978952
Pseudotsuga menziesii var. menziesii,1.204367011
Pteridium aquilinum,0.046836381
Quercus chrysolepis,1.248235903
Quercus kelloggii,-0.067542212
Rhamnus purshiana,-1.535235322
Rhododendron macrophyllum,1.637395408
Rhododendron occidentale,0.5295893
Rosa gymnocarpa,-0.91360744
Rubus parviflorus,-1.237250687
Rubus ursinus,0.780726189
Smilacina racemosa,-0.547618132
Smilacina stellata,-0.887761549
Symphoricarpos albus var. laevigatus,0.099574479
Synthyris reniformis,-0.255432509
Tiarella trifoliata ssp. unifoliata,0.045070717
Trientalis latifolia,-1.070643961
Trisetum canescens,0.008917928
Vaccinium membranaceum,-0.491459843
Vaccinium parvifolium,-0.705530732
Vancouveria hexandra,-1.350504165
Whipplea modesta,-0.209303434
Xerophyllum tenax,2.092460694
